State,2020,2025,2020-2025
Alabama,96,110,14.6
Alaska,8.5,11,29.4
Arizona,150,200,33.3
Arkansas,58,67,15.5
California,690,840,21.7
Colorado,76,92,21.1
Connecticut,80,91,13.8
Delaware,19,23,21.1
District of Columbia,8.9,9,1.1
Florida,580,720,24.1
Georgia,150,190,26.7
Hawaii,29,35,20.7
Idaho,27,33,22.2
Illinois,230,260,13.0
Indiana,110,130,18.2
Iowa,66,73,10.6
Kansas,55,62,12.7
Kentucky,75,86,14.7
Louisiana,92,110,19.6
Maine,29,35,20.7
Maryland,110,130,18.2
Massachusetts,130,150,15.4
Michigan,190,220,15.8
Minnesota,99,120,21.2
Mississippi,57,65,14.0
Missouri,120,130,8.3
Montana,22,27,22.7
Nebraska,35,40,14.3
Nevada,49,64,30.6
New Hampshire,26,32,23.1
New Jersey,190,210,10.5
New Mexico,43,53,23.3
New York,410,460,12.2
North Carolina,180,210,16.7
North Dakota,15,16,6.7
Ohio,220,250,13.6
Oklahoma,67,76,13.4
Oregon,69,84,21.7
Pennsylvania,280,320,14.3
Rhode Island,24,27,12.5
South Carolina,95,120,26.3
South Dakota,18,20,11.1
Tennessee,120,140,16.7
Texas,400,490,22.5
Utah,34,42,23.5
Vermont,13,17,30.8
Virginia,150,190,26.7
Washington,120,140,16.7
West Virginia,39,44,12.8
Wisconsin,120,130,8.3
Wyoming,10,13,30.0