State,hurricane,tornado
Florida,0.91,0.09
Louisiana,0.88,0.12
West Virginia,0.83,0.17
South Carolina,0.84,0.16
Georgia,0.83,0.17
Mississippi,0.79,0.21
North Carolina,0.78,0.22
Alabama,0.74,0.26
Texas,0.73,0.27
Utah,0.87,0.13
Tennessee,0.61,0.39
Maine,0.84,0.16
Hawaii,0.9,0.1
Vermont,0.77,0.23
Kentucky,0.55,0.45
Virginia,0.76,0.24
New Hampshire,0.77,0.23
Rhode Island,0.84,0.16
Arkansas,0.45,0.55
Indiana,0.58,0.42
Wisconsin,0.58,0.42
Ohio,0.54,0.46
Michigan,0.66,0.34
Colorado,0.75,0.25
Maryland,0.74,0.26
Connecticut,0.8,0.2
Missouri,0.47,0.53
Pennsylvania,0.74,0.26
Delaware,0.72,0.28
Illinois,0.56,0.44
Oklahoma,0.35,0.65
New Jersey,0.81,0.19
Massachusetts,0.81,0.19
Arizona,0.77,0.23
Montana,0.78,0.22
Minnesota,0.64,0.36
District of Columbia,0.82,0.18
Wyoming,0.73,0.27
Kansas,0.42,0.58
Iowa,0.4,0.6
New York,0.79,0.21
Washington,0.82,0.18
Idaho,0.77,0.23
Alaska,0.79,0.21
South Dakota,0.56,0.44
Nebraska,0.35,0.65
New Mexico,0.72,0.28
Nevada,0.79,0.21
North Dakota,0.62,0.38
Oregon,0.8,0.2
California,0.77,0.23